vehicle_id,time,type,occupancy,location,count
MINIBUS_1,490.8000030517578,ARRIVAL,2,8587255,
MINIBUS_1,490.8000030517578,BOARDING,2,8587255,2
MINIBUS_1,679.8000030517578,ARRIVAL,4,8577786,
MINIBUS_1,679.8000030517578,BOARDING,4,8577786,2
MINIBUS_1,927.0,ARRIVAL,5,8577785,
MINIBUS_1,927.0,BOARDING,5,8577785,1
MINIBUS_1,957.0,ARRIVAL,6,8592377,
MINIBUS_1,957.0,BOARDING,6,8592377,1
MINIBUS_1,1110.0,ARRIVAL,4,8592374,
MINIBUS_1,1110.0,ALIGHTING,4,8592374,2
MINIBUS_1,1110.0,ARRIVAL,6,8592374,
MINIBUS_1,1110.0,BOARDING,6,8592374,2
MINIBUS_1,1165.7999877929688,ARRIVAL,5,8589131,
MINIBUS_1,1165.7999877929688,ALIGHTING,5,8589131,1
MINIBUS_1,1278.0,ARRIVAL,6,8592374,
MINIBUS_1,1278.0,BOARDING,6,8592374,1
MINIBUS_1,1434.0,ARRIVAL,4,8592377,
MINIBUS_1,1434.0,ALIGHTING,4,8592377,2
MINIBUS_1,1434.0,ARRIVAL,6,8592377,
MINIBUS_1,1434.0,BOARDING,6,8592377,2
MINIBUS_1,1561.7999877929688,ARRIVAL,0,8592374,
MINIBUS_1,1561.7999877929688,ALIGHTING,0,8592374,6
MINIBUS_1,1561.7999877929688,ARRIVAL,6,8592374,
MINIBUS_1,1561.7999877929688,BOARDING,6,8592374,6
MINIBUS_1,1603.7999877929688,ARRIVAL,5,8589130,
MINIBUS_1,1603.7999877929688,ALIGHTING,5,8589130,1
MINIBUS_1,1603.7999877929688,ARRIVAL,6,8589130,
MINIBUS_1,1603.7999877929688,BOARDING,6,8589130,1
MINIBUS_1,1630.2000122070312,ARRIVAL,5,8588344,
MINIBUS_1,1630.2000122070312,ALIGHTING,5,8588344,1
MINIBUS_1,1755.0,ARRIVAL,6,8589130,
MINIBUS_1,1755.0,BOARDING,6,8589130,1
MINIBUS_2,778.7999877929688,ARRIVAL,1,8589131,
MINIBUS_2,778.7999877929688,BOARDING,1,8589131,1
MINIBUS_2,867.5999908447266,ARRIVAL,5,8588344,
MINIBUS_2,867.5999908447266,BOARDING,5,8588344,4
MINIBUS_2,1051.7999877929688,ARRIVAL,6,8589130,
MINIBUS_2,1051.7999877929688,BOARDING,6,8589130,1
MINIBUS_2,1104.5999908447266,ARRIVAL,5,8592374,
MINIBUS_2,1104.5999908447266,ALIGHTING,5,8592374,1
MINIBUS_2,1104.5999908447266,ARRIVAL,6,8592374,
MINIBUS_2,1104.5999908447266,BOARDING,6,8592374,1
MINIBUS_2,1140.0,ARRIVAL,5,8577786,
MINIBUS_2,1140.0,ALIGHTING,5,8577786,1
MINIBUS_2,1140.0,ARRIVAL,6,8577786,
MINIBUS_2,1140.0,BOARDING,6,8577786,1
MINIBUS_2,1500.5999908447266,ARRIVAL,3,8592374,
MINIBUS_2,1500.5999908447266,ALIGHTING,3,8592374,3
MINIBUS_2,1500.5999908447266,ARRIVAL,6,8592374,
MINIBUS_2,1500.5999908447266,BOARDING,6,8592374,3
MINIBUS_2,1524.0,ARRIVAL,5,8577786,
MINIBUS_2,1524.0,ALIGHTING,5,8577786,1
MINIBUS_2,1569.5999755859375,ARRIVAL,6,8588344,
MINIBUS_2,1569.5999755859375,BOARDING,6,8588344,1
MINIBUS_2,1584.0,ARRIVAL,5,8592374,
MINIBUS_2,1584.0,ALIGHTING,5,8592374,1
MINIBUS_2,1584.0,ARRIVAL,6,8592374,
MINIBUS_2,1584.0,BOARDING,6,8592374,1
MINIBUS_2,1776.0,ARRIVAL,5,8589158,
MINIBUS_2,1776.0,ALIGHTING,5,8589158,1
MINIBUS_2,1776.0,ARRIVAL,6,8589158,
MINIBUS_2,1776.0,BOARDING,6,8589158,1
BUS_6_DIR4_T66329.0,782.0,ARRIVAL,0,8592375,
BUS_6_DIR4_T66329.0,859.0,ARRIVAL,1,8592378,
BUS_6_DIR4_T66329.0,859.0,BOARDING,1,8592378,1
BUS_6_DIR4_T66329.0,926.0,ARRIVAL,1,8592377,
BUS_6_DIR4_T66329.0,1060.0,ARRIVAL,2,8577785,
BUS_6_DIR4_T66329.0,1060.0,BOARDING,2,8577785,1
BUS_6_DIR4_T66329.0,1380.0,ARRIVAL,6,8592374,
BUS_6_DIR4_T66329.0,1380.0,BOARDING,6,8592374,6
BUS_6_DIR4_T66329.0,1380.0,ALIGHTING,6,8592374,2
BUS_6_DIR4_T66329.0,1516.0,ARRIVAL,6,8589161,
BUS_6_DIR4_T66329.0,1620.0,ARRIVAL,1,8587255,
BUS_6_DIR4_T66329.0,1620.0,ALIGHTING,1,8587255,5
BUS_6_DIR4_T66329.0,1774.0,ARRIVAL,1,8587356,
MINIBUS_3,843.0,ARRIVAL,1,8577785,
MINIBUS_3,843.0,BOARDING,1,8577785,1
MINIBUS_3,873.0,ARRIVAL,2,8592377,
MINIBUS_3,873.0,BOARDING,2,8592377,1
MINIBUS_3,972.0,ARRIVAL,3,8589161,
MINIBUS_3,972.0,BOARDING,3,8589161,1
MINIBUS_3,1096.8000030517578,ARRIVAL,5,8592374,
MINIBUS_3,1096.8000030517578,BOARDING,5,8592374,2
MINIBUS_3,1194.0,ARRIVAL,4,8589131,
MINIBUS_3,1194.0,ALIGHTING,4,8589131,1
MINIBUS_3,1282.8000030517578,ARRIVAL,6,8592374,
MINIBUS_3,1282.8000030517578,BOARDING,6,8592374,2
MINIBUS_3,1293.0,ARRIVAL,5,8588344,
MINIBUS_3,1293.0,ALIGHTING,5,8588344,1
MINIBUS_3,1293.0,ARRIVAL,6,8588344,
MINIBUS_3,1293.0,BOARDING,6,8588344,1
MINIBUS_3,1530.0,ARRIVAL,3,8577786,
MINIBUS_3,1530.0,ALIGHTING,3,8577786,3
MINIBUS_3,1530.0,ARRIVAL,4,8577786,
MINIBUS_3,1530.0,BOARDING,4,8577786,1
MINIBUS_3,1548.5999908447266,ARRIVAL,6,8592377,
MINIBUS_3,1548.5999908447266,BOARDING,6,8592377,2
MINIBUS_3,1603.7999877929688,ARRIVAL,0,8592374,
MINIBUS_3,1603.7999877929688,ALIGHTING,0,8592374,6
MINIBUS_3,1603.7999877929688,ARRIVAL,6,8592374,
MINIBUS_3,1603.7999877929688,BOARDING,6,8592374,6
MINIBUS_3,1737.0,ARRIVAL,5,8589158,
MINIBUS_3,1737.0,ALIGHTING,5,8589158,1
MINIBUS_3,1737.0,ARRIVAL,6,8589158,
MINIBUS_3,1737.0,BOARDING,6,8589158,1
MINIBUS_3,1738.8000030517578,ARRIVAL,5,8589270,
MINIBUS_3,1738.8000030517578,ALIGHTING,5,8589270,1
MINIBUS_3,1771.8000030517578,ARRIVAL,6,8591766,
MINIBUS_3,1771.8000030517578,BOARDING,6,8591766,1
MINIBUS_3,1777.1999969482422,ARRIVAL,4,8592374,
MINIBUS_3,1777.1999969482422,ALIGHTING,4,8592374,2
MINIBUS_3,1777.1999969482422,ARRIVAL,5,8592374,
MINIBUS_3,1777.1999969482422,BOARDING,5,8592374,1
BUS_6_DIR5_T66326.0,1068.0,ARRIVAL,0,8589270,
BUS_6_DIR5_T66326.0,1254.0,ARRIVAL,0,8589147,
BUS_6_DIR5_T66326.0,1159.0,ARRIVAL,0,8589158,
BUS_6_DIR5_T66326.0,1254.0,ARRIVAL,0,8589147,
BUS_6_DIR5_T66326.0,1320.0,ARRIVAL,0,8591766,
BUS_6_DIR5_T66326.0,1420.0,ARRIVAL,0,8587356,
BUS_6_DIR5_T66326.0,1518.0,ARRIVAL,0,8587255,
BUS_6_DIR5_T66326.0,1666.0,ARRIVAL,2,8589161,
BUS_6_DIR5_T66326.0,1666.0,BOARDING,2,8589161,2
BUS_2_DIR4_T62521.0,1074.0,ARRIVAL,1,8589131,
BUS_2_DIR4_T62521.0,1074.0,BOARDING,1,8589131,1
BUS_2_DIR4_T62521.0,1136.0,ARRIVAL,3,8588344,
BUS_2_DIR4_T62521.0,1136.0,BOARDING,3,8588344,2
BUS_2_DIR4_T62521.0,1230.0,ARRIVAL,4,8577786,
BUS_2_DIR4_T62521.0,1230.0,BOARDING,4,8577786,1
BUS_2_DIR4_T62521.0,1627.0,ARRIVAL,6,8592374,
BUS_2_DIR4_T62521.0,1627.0,BOARDING,6,8592374,6
BUS_2_DIR4_T62521.0,1627.0,ALIGHTING,6,8592374,4
BUS_2_DIR4_T62521.0,1792.0,ARRIVAL,11,8589161,
BUS_2_DIR4_T62521.0,1792.0,BOARDING,11,8589161,5
BUS_2_DIR4_T62529.0,1393.0,ARRIVAL,0,8589130,
BUS_2_DIR4_T62529.0,1544.0,ARRIVAL,0,8589131,
BUS_2_DIR4_T62529.0,1692.0,ARRIVAL,0,8577786,
BUS_2_DIR4_T62529.0,1777.0,ARRIVAL,1,8577785,
BUS_2_DIR4_T62529.0,1777.0,BOARDING,1,8577785,1
BUS_2_DIR3_T62506.0,1408.0,ARRIVAL,1,8589141,
BUS_2_DIR3_T62506.0,1408.0,BOARDING,1,8589141,1
BUS_2_DIR3_T62506.0,1494.0,ARRIVAL,4,8589138,
BUS_2_DIR3_T62506.0,1494.0,BOARDING,4,8589138,3
BUS_2_DIR3_T62506.0,1559.0,ARRIVAL,4,8591766,
BUS_2_DIR3_T62506.0,1774.0,ARRIVAL,5,8587255,
BUS_2_DIR3_T62506.0,1774.0,BOARDING,5,8587255,1
BUS_6_DIR4_T66337.0,1460.0,ARRIVAL,0,8592375,
